"id","القرية","العزلة","المديرية","المحافظة"
8349,"الخرابه","ربع الشام","الزهره","الحديده"
8350,"الخميس","ربع الشام","الزهره","الحديده"
8351,"الغرفتين","ربع الشام","الزهره","الحديده"
8352,"القارة","ربع الشام","الزهره","الحديده"
8353,"القريصاء","ربع الشام","الزهره","الحديده"
8354,"المجزاب","ربع الشام","الزهره","الحديده"
8355,"المحصام المكي","ربع الشام","الزهره","الحديده"
8356,"المدابعه","ربع الشام","الزهره","الحديده"
8357,"المدافن","ربع الشام","الزهره","الحديده"
8358,"المرابيع","ربع الشام","الزهره","الحديده"
8359,"المسلام","ربع الشام","الزهره","الحديده"
8360,"المطيانه","ربع الشام","الزهره","الحديده"
8361,"المغافله","ربع الشام","الزهره","الحديده"
8362,"بني مكي","ربع الشام","الزهره","الحديده"
8363,"حشكله","ربع الشام","الزهره","الحديده"
8364,"دالي","ربع الشام","الزهره","الحديده"
8365,"دير ابكر","ربع الشام","الزهره","الحديده"
8366,"دير احمد مكى","ربع الشام","الزهره","الحديده"
8367,"دير البصيلي","ربع الشام","الزهره","الحديده"
8368,"دير الجحاريه","ربع الشام","الزهره","الحديده"
8369,"دير الحجل","ربع الشام","الزهره","الحديده"
8370,"دير الزغف","ربع الشام","الزهره","الحديده"
8371,"دير الزين","ربع الشام","الزهره","الحديده"
8372,"دير الشمه","ربع الشام","الزهره","الحديده"
8373,"دير الفقيه","ربع الشام","الزهره","الحديده"
8374,"دير الوجية","ربع الشام","الزهره","الحديده"
8375,"دير جرنه","ربع الشام","الزهره","الحديده"
8376,"دير علي مكي","ربع الشام","الزهره","الحديده"
8377,"دير عيده","ربع الشام","الزهره","الحديده"
8378,"زر الواغطات","ربع الشام","الزهره","الحديده"
8379,"عزان","ربع الشام","الزهره","الحديده"
8380,"قرن الشامي","ربع الشام","الزهره","الحديده"
8381,"كدف عبدالله","ربع الشام","الزهره","الحديده"
8382,"لبادة","ربع الشام","الزهره","الحديده"
8383,"مجحف","ربع الشام","الزهره","الحديده"
8384,"الجواخبه","ربع الوسط","الزهره","الحديده"
8385,"الدحله","ربع الوسط","الزهره","الحديده"
8386,"الدراميه","ربع الوسط","الزهره","الحديده"
8387,"الدمنه","ربع الوسط","الزهره","الحديده"
8388,"الرفيع","ربع الوسط","الزهره","الحديده"
8389,"القحفه","ربع الوسط","الزهره","الحديده"
8390,"القنبور","ربع الوسط","الزهره","الحديده"
8391,"بيت الشومي","ربع الوسط","الزهره","الحديده"
8392,"دير الدومه","ربع الوسط","الزهره","الحديده"
8393,"دير الصغير","ربع الوسط","الزهره","الحديده"
8394,"دير الصوفي","ربع الوسط","الزهره","الحديده"
8395,"دير العضابي","ربع الوسط","الزهره","الحديده"
8396,"دير القشوي","ربع الوسط","الزهره","الحديده"
8397,"دير المحصام","ربع الوسط","الزهره","الحديده"
8398,"دير المسلام","ربع الوسط","الزهره","الحديده"
8399,"دير المغد","ربع الوسط","الزهره","الحديده"
8400,"دير الولي","ربع الوسط","الزهره","الحديده"
8401,"دير حميد","ربع الوسط","الزهره","الحديده"
8402,"دير زبله","ربع الوسط","الزهره","الحديده"
8403,"دير شقيف","ربع الوسط","الزهره","الحديده"
8404,"دير فنجان","ربع الوسط","الزهره","الحديده"
8405,"دير منتل","ربع الوسط","الزهره","الحديده"
8406,"ديرالاقعش","ربع الوسط","الزهره","الحديده"
8407,"كدف الدعيشي","ربع الوسط","الزهره","الحديده"
8408,"كدف مبارك","ربع الوسط","الزهره","الحديده"
8409,"محصام الدعيشي","ربع الوسط","الزهره","الحديده"
8410,"محصام العادلي","ربع الوسط","الزهره","الحديده"
8411,"محصام اليامي","ربع الوسط","الزهره","الحديده"
8412,"محصام مبارك","ربع الوسط","الزهره","الحديده"
8413,"محصام مهنا","ربع الوسط","الزهره","الحديده"
8414,"الحلة الجنوبي","الحشابره","الزيدية","الحديده"
8415,"العبديه","الحشابره","الزيدية","الحديده"
8416,"العجلانيه","الحشابره","الزيدية","الحديده"
8417,"العجلانيه العليا","الحشابره","الزيدية","الحديده"
8418,"العرش","الحشابره","الزيدية","الحديده"
8419,"العرش الجديده","الحشابره","الزيدية","الحديده"
8420,"المحال","الحشابره","الزيدية","الحديده"
8421,"المحال الغربي","الحشابره","الزيدية","الحديده"
8422,"المدنى","الحشابره","الزيدية","الحديده"
8423,"بيت عقاد","الحشابره","الزيدية","الحديده"
8424,"دير البحري","الحشابره","الزيدية","الحديده"
8425,"دير القادرى","الحشابره","الزيدية","الحديده"
8426,"دير المشعف","الحشابره","الزيدية","الحديده"
8427,"دير صالح","الحشابره","الزيدية","الحديده"
8428,"دير عسله","الحشابره","الزيدية","الحديده"
8429,"دير عمر","الحشابره","الزيدية","الحديده"
8430,"دير عياش","الحشابره","الزيدية","الحديده"
8431,"دير غراب","الحشابره","الزيدية","الحديده"
8432,"قرية الحشابره","الحشابره","الزيدية","الحديده"
8433,"قرية الحشابره الشمالي","الحشابره","الزيدية","الحديده"
8434,"محل على حسين","الحشابره","الزيدية","الحديده"
8435,"محل الاشخر","الحشابره","الزيدية","الحديده"
8436,"البينية","الزيديه","الزيدية","الحديده"
8437,"الرباط","الزيديه","الزيدية","الحديده"
8438,"الزيدية","الزيديه","الزيدية","الحديده"
8439,"الكدراء","الزيديه","الزيدية","الحديده"
8440,"برخل","الزيديه","الزيدية","الحديده"
8441,"دير البخور","الزيديه","الزيدية","الحديده"
8442,"دير الوجيه","الزيديه","الزيدية","الحديده"
8443,"دير عبدربه","الزيديه","الزيدية","الحديده"
8444,"شعب اللبن","الزيديه","الزيدية","الحديده"
8445,"محل البن","الزيديه","الزيدية","الحديده"
8446,"محل الحجرى","الزيديه","الزيدية","الحديده"
8447,"محل الحربى","الزيديه","الزيدية","الحديده"
8448,"محل الخليل","الزيديه","الزيدية","الحديده"
8449,"محل الشاوش","الزيديه","الزيدية","الحديده"
8450,"محل دهل","الزيديه","الزيدية","الحديده"
8451,"محل غبيش","الزيديه","الزيدية","الحديده"
8452,"محل محسن","الزيديه","الزيدية","الحديده"
8453,"البروق","العطاويه","الزيدية","الحديده"
8454,"البنايا","العطاويه","الزيدية","الحديده"
8455,"الجرايب","العطاويه","الزيدية","الحديده"
8456,"الحجرة","العطاويه","الزيدية","الحديده"
8457,"الحريقيه","العطاويه","الزيدية","الحديده"
8458,"الحلة","العطاويه","الزيدية","الحديده"
8459,"الخبال","العطاويه","الزيدية","الحديده"
8460,"الخشب","العطاويه","الزيدية","الحديده"
8461,"الخطيب","العطاويه","الزيدية","الحديده"
8462,"الرافعى","العطاويه","الزيدية","الحديده"
8463,"الرايه","العطاويه","الزيدية","الحديده"
8464,"الرحمه","العطاويه","الزيدية","الحديده"
8465,"السويدان","العطاويه","الزيدية","الحديده"
8466,"الضماديه","العطاويه","الزيدية","الحديده"
8467,"العناش","العطاويه","الزيدية","الحديده"
8468,"الكلفود","العطاويه","الزيدية","الحديده"
8469,"المخنجف","العطاويه","الزيدية","الحديده"
8470,"المهدلى الشرقي","العطاويه","الزيدية","الحديده"
8471,"بيت عطا","العطاويه","الزيدية","الحديده"
8472,"دير احمد","العطاويه","الزيدية","الحديده"
8473,"دير البلح","العطاويه","الزيدية","الحديده"
8474,"دير الحبيلى","العطاويه","الزيدية","الحديده"
8475,"دير الربيدي","العطاويه","الزيدية","الحديده"
8476,"دير القريطى","العطاويه","الزيدية","الحديده"
8477,"دير الولي","العطاويه","الزيدية","الحديده"
8478,"دير جلاله","العطاويه","الزيدية","الحديده"
8479,"دير على","العطاويه","الزيدية","الحديده"
8480,"طبيش","العطاويه","الزيدية","الحديده"
8481,"عراجه","العطاويه","الزيدية","الحديده"
8482,"عنكزه","العطاويه","الزيدية","الحديده"
8483,"فتاح","العطاويه","الزيدية","الحديده"
8484,"كواله","العطاويه","الزيدية","الحديده"
8485,"مانع","العطاويه","الزيدية","الحديده"
8486,"محل حسن عبد الله","العطاويه","الزيدية","الحديده"
8487,"معظام","العطاويه","الزيدية","الحديده"
8488,"مفتاح","العطاويه","الزيدية","الحديده"
8489,"المعروفية","القباعية","الزيدية","الحديده"
8490,"الجعوديه","الرامية السفلى","السخنه","الحديده"
8491,"الرد","الرامية السفلى","السخنه","الحديده"
8492,"الرزيقي","الرامية السفلى","السخنه","الحديده"
8493,"الزعاور العليا","الرامية السفلى","السخنه","الحديده"
8494,"العثمانيه","الرامية السفلى","السخنه","الحديده"
8495,"الكراديه","الرامية السفلى","السخنه","الحديده"
8496,"الكيبنية","الرامية السفلى","السخنه","الحديده"
8497,"المزف","الرامية السفلى","السخنه","الحديده"
8498,"المساوده","الرامية السفلى","السخنه","الحديده"
8499,"الملحاني","الرامية السفلى","السخنه","الحديده"
8500,"الهواشم","الرامية السفلى","السخنه","الحديده"
8501,"بيوت البوطة","الرامية السفلى","السخنه","الحديده"
8502,"قزعة السلامنة","الرامية السفلى","السخنه","الحديده"
8503,"هديمه","الرامية السفلى","السخنه","الحديده"
8504,"البترة والميناء","الراميه العليا","السخنه","الحديده"
8505,"الجريبا","الراميه العليا","السخنه","الحديده"
8506,"الحبيلي","الراميه العليا","السخنه","الحديده"
8507,"الحريق","الراميه العليا","السخنه","الحديده"
8508,"الدامغ","الراميه العليا","السخنه","الحديده"
8509,"السخنه","الراميه العليا","السخنه","الحديده"
8510,"الشعوب","الراميه العليا","السخنه","الحديده"
8511,"الشعوه","الراميه العليا","السخنه","الحديده"
8512,"العراجه","الراميه العليا","السخنه","الحديده"
8513,"العقارية","الراميه العليا","السخنه","الحديده"
8514,"المحلتين","الراميه العليا","السخنه","الحديده"
8515,"المدافن","الراميه العليا","السخنه","الحديده"
8516,"المدمن","الراميه العليا","السخنه","الحديده"
8517,"المرقدة","الراميه العليا","السخنه","الحديده"
8518,"المصبار","الراميه العليا","السخنه","الحديده"
8519,"بليبله","الراميه العليا","السخنه","الحديده"
8520,"ثويب","الراميه العليا","السخنه","الحديده"
8521,"دير التبين","الراميه العليا","السخنه","الحديده"
8522,"دير الدين","الراميه العليا","السخنه","الحديده"
8523,"دير القماط","الراميه العليا","السخنه","الحديده"
8524,"دير المزبل","الراميه العليا","السخنه","الحديده"
8525,"دير المقبول","الراميه العليا","السخنه","الحديده"
8526,"دير الهديش","الراميه العليا","السخنه","الحديده"
8527,"دير داوود","الراميه العليا","السخنه","الحديده"
8528,"دير كداف","الراميه العليا","السخنه","الحديده"
8529,"شجينه","الراميه العليا","السخنه","الحديده"
8530,"عواجه","الراميه العليا","السخنه","الحديده"
8531,"كبه على عطيه","الراميه العليا","السخنه","الحديده"
8532,"كحيل","الراميه العليا","السخنه","الحديده"
8533,"محل الرويد","الراميه العليا","السخنه","الحديده"
8534,"منيبر","الراميه العليا","السخنه","الحديده"
8535,"الزحيفي","الصليف","الصليف","الحديده"
8536,"الصليف","الصليف","الصليف","الحديده"
8537,"الضبره","الصليف","الصليف","الحديده"
8538,"القرية","الصليف","الصليف","الحديده"
8539,"بحرجابر","الصليف","الصليف","الحديده"
8540,"دير الولي","الصليف","الصليف","الحديده"
8541,"جزيرة هيكوك","جزيرة هيكوك","الخوخه","الحديده"
8542,"جزيرة وغر","جزيرة وغر","الصليف","الحديده"
8543,"البلغيثيه","الجرابح السفلى","الضحي","الحديده"
8544,"الجرفه","الجرابح السفلى","الضحي","الحديده"
8545,"الزغفه","الجرابح السفلى","الضحي","الحديده"
8546,"الساحلي","الجرابح السفلى","الضحي","الحديده"
8547,"الشعبه","الجرابح السفلى","الضحي","الحديده"
8548,"الصرح","الجرابح السفلى","الضحي","الحديده"
8549,"الضبايه","الجرابح السفلى","الضحي","الحديده"
8550,"الضحي","الجرابح السفلى","الضحي","الحديده"
8551,"القعيصاء","الجرابح السفلى","الضحي","الحديده"
8552,"المحيصم","الجرابح السفلى","الضحي","الحديده"
8553,"المدمن","الجرابح السفلى","الضحي","الحديده"
8554,"المسقى","الجرابح السفلى","الضحي","الحديده"
8555,"المصلاعيه","الجرابح السفلى","الضحي","الحديده"
8556,"المقنف","الجرابح السفلى","الضحي","الحديده"
8557,"دير السلام","الجرابح السفلى","الضحي","الحديده"
8558,"دير المشهور","الجرابح السفلى","الضحي","الحديده"
8559,"دير حريش","الجرابح السفلى","الضحي","الحديده"
8560,"دير شويل","الجرابح السفلى","الضحي","الحديده"
8561,"محل السيد سليمان","الجرابح السفلى","الضحي","الحديده"
8562,"محل العوص الشرقي","الجرابح السفلى","الضحي","الحديده"
8563,"الحسينيه","الجرابح العليا","الضحي","الحديده"
8564,"الزبيله","الجرابح العليا","الضحي","الحديده"
8565,"الشرجه","الجرابح العليا","الضحي","الحديده"
8566,"العصمه","الجرابح العليا","الضحي","الحديده"
8567,"الكدن","الجرابح العليا","الضحي","الحديده"
8568,"المحاريف","الجرابح العليا","الضحي","الحديده"
8569,"الناصري","الجرابح العليا","الضحي","الحديده"
8570,"سوق الحمره","الجرابح العليا","الضحي","الحديده"
8571,"مبروت","الجرابح العليا","الضحي","الحديده"
8572,"ابو ريش الشرقى","القوزى","القناوص","الحديده"
8573,"ابو ريش الغربى","القوزى","القناوص","الحديده"
8574,"الحبطه","القوزى","القناوص","الحديده"
8575,"الحزر","القوزى","القناوص","الحديده"
8576,"حبيل عتين","القوزى","القناوص","الحديده"
8577,"دير ابراهيم","القوزى","القناوص","الحديده"
8578,"دير الاحمر","القوزى","القناوص","الحديده"
8579,"دير الاسود","القوزى","القناوص","الحديده"
8580,"دير البواح","القوزى","القناوص","الحديده"
8581,"دير السيف","القوزى","القناوص","الحديده"
8582,"دير الشلب الشرقى","القوزى","القناوص","الحديده"
8583,"دير الشلب الغربى","القوزى","القناوص","الحديده"
8584,"دير الصعدي","القوزى","القناوص","الحديده"
8585,"دير العلاك","القوزى","القناوص","الحديده"
8586,"دير القحم","القوزى","القناوص","الحديده"
8587,"دير القوزيه","القوزى","القناوص","الحديده"
8588,"دير المريقي","القوزى","القناوص","الحديده"
8589,"دير المعلم","القوزى","القناوص","الحديده"
8590,"دير حفيص","القوزى","القناوص","الحديده"
8591,"دير زابط الشرقى","القوزى","القناوص","الحديده"
8592,"دير زابط الغربى","القوزى","القناوص","الحديده"
8593,"دير عباس الغربى","القوزى","القناوص","الحديده"
8594,"دير عمر","القوزى","القناوص","الحديده"
8595,"دير كزابه","القوزى","القناوص","الحديده"
8596,"دير يوسف","القوزى","القناوص","الحديده"
8597,"محل عباسه الشرقي","القوزى","القناوص","الحديده"
8598,"محل عزان","القوزى","القناوص","الحديده"
8599,"ابو العجايه","المقاعشه","القناوص","الحديده"
8600,"السقبان","المقاعشه","القناوص","الحديده"
8601,"الكروس","المقاعشه","القناوص","الحديده"
8602,"المدافن","المقاعشه","القناوص","الحديده"
8603,"المضبار","المقاعشه","القناوص","الحديده"
8604,"المنيب","المقاعشه","القناوص","الحديده"
8605,"الهلج","المقاعشه","القناوص","الحديده"
8606,"دوغان","المقاعشه","القناوص","الحديده"
8607,"الشرفين الغربى","المهادلة","القناوص","الحديده"
8608,"الطويل","المهادلة","القناوص","الحديده"
8609,"العنواش","المهادلة","القناوص","الحديده"
8610,"القادري الشرقى","المهادلة","القناوص","الحديده"
8611,"القادري الغربى","المهادلة","القناوص","الحديده"
8612,"القحم الشرقي","المهادلة","القناوص","الحديده"
8613,"المهادله","المهادلة","القناوص","الحديده"
8614,"النجاري","المهادلة","القناوص","الحديده"
8615,"النشاد الشرقي","المهادلة","القناوص","الحديده"
8616,"النشاد الغربى","المهادلة","القناوص","الحديده"
8617,"دير البسوط","المهادلة","القناوص","الحديده"
8618,"دير القحم الغربى","المهادلة","القناوص","الحديده"
8619,"دير المفصل","المهادلة","القناوص","الحديده"
8620,"دير عبدالله","المهادلة","القناوص","الحديده"
8621,"ديرالجبال","المهادلة","القناوص","الحديده"
8622,"ديرالشرفين الشرقي","المهادلة","القناوص","الحديده"
8623,"ديرذيبين","المهادلة","القناوص","الحديده"
8624,"محل شوك","المهادلة","القناوص","الحديده"
8625,"الحبطه السفلى","كشارب","القناوص","الحديده"
8626,"الحبطه العليا","كشارب","القناوص","الحديده"
8627,"الدرسي","كشارب","القناوص","الحديده"
8628,"القصير","كشارب","القناوص","الحديده"
8629,"القناوص","كشارب","القناوص","الحديده"
8630,"المباكره","كشارب","القناوص","الحديده"
8631,"المصبار","كشارب","القناوص","الحديده"
8632,"المعقد الغربى","كشارب","القناوص","الحديده"
8633,"المقعد الشرقى","كشارب","القناوص","الحديده"
8634,"المكين الجنوبي","كشارب","القناوص","الحديده"
8635,"المكين الشمالي","كشارب","القناوص","الحديده"
8636,"الهميس","كشارب","القناوص","الحديده"
8637,"بشيبش الشرق","كشارب","القناوص","الحديده"
8638,"بشيبش الغرب","كشارب","القناوص","الحديده"
8639,"حبيل المواذنه","كشارب","القناوص","الحديده"
8640,"حبيل بني مسعود","كشارب","القناوص","الحديده"
8641,"حمزه الشرقي","كشارب","القناوص","الحديده"
8642,"دير ابكر بانة","كشارب","القناوص","الحديده"
8643,"دير الشامي","كشارب","القناوص","الحديده"
8644,"دير الطبيش","كشارب","القناوص","الحديده"
8645,"دير دهمش","كشارب","القناوص","الحديده"
8646,"دير سالم","كشارب","القناوص","الحديده"
8647,"دير عويدان","كشارب","القناوص","الحديده"
8648,"دير كشارب","كشارب","القناوص","الحديده"
8649,"دير محمد هادي","كشارب","القناوص","الحديده"
8650,"ديرالحردالغربي","كشارب","القناوص","الحديده"
8651,"ديرالزين","كشارب","القناوص","الحديده"
8652,"ديرالشلب","كشارب","القناوص","الحديده"
8653,"ديرالهليلي","كشارب","القناوص","الحديده"
8654,"زبيد الشرق","كشارب","القناوص","الحديده"
8655,"شيبـــة","كشارب","القناوص","الحديده"
8656,"قرن بوه","كشارب","القناوص","الحديده"
8657,"مبرط","كشارب","القناوص","الحديده"
8658,"محل البكيريه","كشارب","القناوص","الحديده"
8659,"محل الحامي","كشارب","القناوص","الحديده"
8660,"محل الحرازي","كشارب","القناوص","الحديده"
8661,"محل الخلعيه","كشارب","القناوص","الحديده"
8662,"محل الساحلى","كشارب","القناوص","الحديده"
8663,"محل الساق","كشارب","القناوص","الحديده"
8664,"محل الصدر","كشارب","القناوص","الحديده"
8665,"محل العاند","كشارب","القناوص","الحديده"
8666,"محل العرير","كشارب","القناوص","الحديده"
8667,"محل العفيف","كشارب","القناوص","الحديده"
8668,"محل الفتيني الجنوبي","كشارب","القناوص","الحديده"
8669,"محل القحل","كشارب","القناوص","الحديده"
8670,"محل المجاور","كشارب","القناوص","الحديده"
8671,"محل الهندى","كشارب","القناوص","الحديده"
8672,"محل اليبوت","كشارب","القناوص","الحديده"
8673,"محل بلغيث حمزه","كشارب","القناوص","الحديده"
8674,"محل حمزه الغربي","كشارب","القناوص","الحديده"
8675,"محل حمزه المجاور","كشارب","القناوص","الحديده"
8676,"محل سويد","كشارب","القناوص","الحديده"
8677,"محل طعام الشرق","كشارب","القناوص","الحديده"
8678,"محل طعام الغرب","كشارب","القناوص","الحديده"
8679,"محل عابد","كشارب","القناوص","الحديده"
8680,"محل على عقيدي","كشارب","القناوص","الحديده"
8681,"محل لفتيني","كشارب","القناوص","الحديده"
8682,"محل محمد ابكر","كشارب","القناوص","الحديده"
8683,"محل مدبع","كشارب","القناوص","الحديده"
8684,"محل هباش","كشارب","القناوص","الحديده"
8685,"الزيلعيه","البعجية","اللحية","الحديده"
8686,"العرمة","البعجية","اللحية","الحديده"
8687,"القضيبيه","البعجية","اللحية","الحديده"
8688,"دير القحيل","البعجية","اللحية","الحديده"
8689,"دير مينه","البعجية","اللحية","الحديده"
8690,"الخوبة","الخوبة","اللحية","الحديده"
8691,"الجربه","الزعلية ربع السمعلي","اللحية","الحديده"
8692,"الحاكم الاسفل","الزعلية ربع السمعلي","اللحية","الحديده"
8693,"الحول","الزعلية ربع السمعلي","اللحية","الحديده"
8694,"الربدة","الزعلية ربع السمعلي","اللحية","الحديده"
8695,"السوق القديم","الزعلية ربع السمعلي","اللحية","الحديده"
8696,"الكدمة","الزعلية ربع السمعلي","اللحية","الحديده"
8697,"المعقد","الزعلية ربع السمعلي","اللحية","الحديده"
8698,"بجيلة دبوان","الزعلية ربع السمعلي","اللحية","الحديده"
8699,"دير ابكر","الزعلية ربع السمعلي","اللحية","الحديده"
8700,"دير الاخرش","الزعلية ربع السمعلي","اللحية","الحديده"
8701,"دير الباشق","الزعلية ربع السمعلي","اللحية","الحديده"
8702,"دير الشيخ","الزعلية ربع السمعلي","اللحية","الحديده"
8703,"دير العطيفه","الزعلية ربع السمعلي","اللحية","الحديده"
8704,"دير المليل","الزعلية ربع السمعلي","اللحية","الحديده"
8705,"دير يعقوب","الزعلية ربع السمعلي","اللحية","الحديده"
8706,"دير يونس","الزعلية ربع السمعلي","اللحية","الحديده"
8707,"ديردم","الزعلية ربع السمعلي","اللحية","الحديده"
8708,"ديرعرة","الزعلية ربع السمعلي","اللحية","الحديده"
8709,"ديرمرة","الزعلية ربع السمعلي","اللحية","الحديده"
8710,"محل المحامده","الزعلية ربع السمعلي","اللحية","الحديده"
8711,"محل المساني","الزعلية ربع السمعلي","اللحية","الحديده"
8712,"محل سرور","الزعلية ربع السمعلي","اللحية","الحديده"
8713,"محل هندي","الزعلية ربع السمعلي","اللحية","الحديده"
8714,"البلسدي","الزعلية ربع المحجوب","اللحية","الحديده"
8715,"الجبيرية","الزعلية ربع المحجوب","اللحية","الحديده"
8716,"الفريقه","الزعلية ربع المحجوب","اللحية","الحديده"
8717,"الفقير","الزعلية ربع المحجوب","اللحية","الحديده"
8718,"المردم","الزعلية ربع المحجوب","اللحية","الحديده"
8719,"المعولى","الزعلية ربع المحجوب","اللحية","الحديده"
8720,"دومان","الزعلية ربع المحجوب","اللحية","الحديده"
8721,"دير المساوي","الزعلية ربع المحجوب","اللحية","الحديده"
8722,"دير الهادي","الزعلية ربع المحجوب","اللحية","الحديده"
8723,"دير عبد","الزعلية ربع المحجوب","اللحية","الحديده"
8724,"قرية الزين","الزعلية ربع المحجوب","اللحية","الحديده"
8725,"قرية المحجوب","الزعلية ربع المحجوب","اللحية","الحديده"
8726,"قرية الهبيه","الزعلية ربع المحجوب","اللحية","الحديده"
8727,"الاشراف","الزعلية ربع عباك","اللحية","الحديده"
8728,"البراخشة","الزعلية ربع عباك","اللحية","الحديده"
8729,"الزاوية","الزعلية ربع عباك","اللحية","الحديده"
8730,"العبلية","الزعلية ربع عباك","اللحية","الحديده"
8731,"القاهره","الزعلية ربع عباك","اللحية","الحديده"
8732,"القزاعية","الزعلية ربع عباك","اللحية","الحديده"
8733,"القزع","الزعلية ربع عباك","اللحية","الحديده"
8734,"القويع","الزعلية ربع عباك","اللحية","الحديده"
8735,"الرصاص","بني جامع(ربع عديه)","اللحية","الحديده"
8736,"الرصاص الجنوبيه","بني جامع(ربع عديه)","اللحية","الحديده"
8737,"العقيلية الشرقيه","بني جامع(ربع عديه)","اللحية","الحديده"
8738,"العقيلية الغربيه","بني جامع(ربع عديه)","اللحية","الحديده"
8739,"اللحية","بني جامع(ربع عديه)","اللحية","الحديده"
8740,"بني الحاسر","بني جامع(ربع عديه)","اللحية","الحديده"
8741,"بني الهارب","بني جامع(ربع عديه)","اللحية","الحديده"
8742,"بيوت حسين","بني جامع(ربع عديه)","اللحية","الحديده"
8743,"جبل الملح","بني جامع(ربع عديه)","اللحية","الحديده"
8744,"كدمة دحدح","بني جامع(ربع عديه)","اللحية","الحديده"
8745,"جزيرة الرافع(رفاء)","جزيرة الرافع(رفاء)","اللحية","الحديده"
8746,"جزيرة السرج (المقعد)","جزيرة السرج (المقعد)","اللحية","الحديده"
8747,"جزبره الظهائر (فنيل)","جزيرة الظهائر","اللحية","الحديده"
8748,"جزيرة المرك","جزيرة المرك","اللحية","الحديده"
8749,"جزيرة انتوفش","جزيرة انتوفش","اللحية","الحديده"
8750,"جزيرة بهيجة","جزيرة بهيجة","اللحية","الحديده"
8751,"جزيرة بوادر","جزيرة بوادر","اللحية","الحديده"
8752,"جزيرة تكفاش","جزيرة تكفاش","اللحية","الحديده"
8753,"جزيرة تلاوين","جزيرة تلاوين","اللحية","الحديده"
8754,"جزيرة جواء","جزيرة جواء","اللحية","الحديده"
8755,"جزيرة دحريمة (دريما)","جزيرة دحريمة (دريما)","اللحية","الحديده"
8756,"جزيرة زبين","جزيرة زبين","اللحية","الحديده"
8757,"جزيرة زرباط","جزيرة زرباط","اللحية","الحديده"
8758,"جزيرة سانا","جزيرة سانا","اللحية","الحديده"
8759,"جزيرة شعاب القهراء","جزيرة شعاب القهراء","اللحية","الحديده"
8760,"جزيرة شعاب بحيص","جزيرة شعاب بحيص","اللحية","الحديده"
8761,"جزيرة طولوين","جزيرة طولوين","اللحية","الحديده"
8762,"جزيرة عزماك","جزيرة عزماك","اللحية","الحديده"
8763,"جزيرة عليان الصغير","جزيرة عليان الصغير","اللحية","الحديده"
8764,"جزيرة عليان الكبير","جزيرة عليان الكبير","اللحية","الحديده"
8765,"جزيرة عنايب","جزيرة عنايب","اللحية","الحديده"
8766,"جزيرة فراعية","جزيرة فراعية","اللحية","الحديده"
8767,"جزيرة قصر(كسي)","جزيرة قصر(كسي)","اللحية","الحديده"
8768,"جزيرة كَسي (زبيت)","جزيرة كَسي (زبيت)","اللحية","الحديده"
8769,"جزيرة لبوان","جزيرة لبوان","اللحية","الحديده"
8770,"جزيرة مخيضري","جزيرة مخيضري","اللحية","الحديده"
8771,"جزيرة يُمنى","جزيرة يُمنى","اللحية","الحديده"
8772,"جزيره البري","جزيره البري","اللحية","الحديده"
8773,"جزيره الجوساك","جزيره الجوساك","اللحية","الحديده"
8774,"جزيره الطائر","جزيره الطائر","اللحية","الحديده"
8775,"جزيره الكتاما","جزيره الكتاما","اللحية","الحديده"
8776,"جزيره الكوس","جزيره الكوس","اللحية","الحديده"
8777,"جزيره الكوس الصغير","جزيره الكوس الصغير","اللحية","الحديده"
8778,"جزيره المسودك","جزيره المسودك","اللحية","الحديده"
8779,"جزيره بابرد","جزيره بابريز","اللحية","الحديده"
8780,"جزيره حطبان","جزيره حطبان","اللحية","الحديده"
8781,"جزيره حمر","جزيره حمر","اللحية","الحديده"
8782,"جزيرة (تابعة لجزيرة زحه)","جزيره زحه","اللحية","الحديده"
8783,"جزيره زحه","جزيره زحه","اللحية","الحديده"
8784,"جزيره زوربان","جزيره زوربان","اللحية","الحديده"
8785,"جزيره زيما (زريمه)","جزيره زيما","اللحية","الحديده"
8786,"جزيره عقبات الصغيره","جزيره عقبات الصغيره","اللحية","الحديده"
8787,"جزيره عقبات الكبيره","جزيره عقبات الكبيره","اللحية","الحديده"
8788,"جزيره كدمان الصغير","جزيره كدمان الصغير","اللحية","الحديده"
8789,"جزيره كدمان الكبير","جزيره كدمان الكبير","اللحية","الحديده"
8790,"الغبارية","ربع الحضرمي","اللحية","الحديده"
8791,"الغباريه الجنوبيه","ربع الحضرمي","اللحية","الحديده"
8792,"القضب","ربع الحضرمي","اللحية","الحديده"
8793,"الكدمة","ربع الحضرمي","اللحية","الحديده"
8794,"اللبينيه","ربع الحضرمي","اللحية","الحديده"
8795,"اللحوج","ربع الحضرمي","اللحية","الحديده"
8796,"الناشرية","ربع الحضرمي","اللحية","الحديده"
8797,"الوطاوطة","ربع الحضرمي","اللحية","الحديده"
8798,"بيت حجري","ربع الحضرمي","اللحية","الحديده"
8799,"درين","ربع الحضرمي","اللحية","الحديده"
8800,"درين الشرقيه","ربع الحضرمي","اللحية","الحديده"
8801,"شعب عبشة","ربع الحضرمي","اللحية","الحديده"
8802,"الدرسيه","ربع الدوس","اللحية","الحديده"
8803,"الردينى الشرقى","ربع الدوس","اللحية","الحديده"
8804,"العولة","ربع الدوس","اللحية","الحديده"
8805,"بني جعيبه","ربع الدوس","اللحية","الحديده"
